,x,y
1426,21.704641,8.427414
2096,7.1361847,-41.41046
385,-6.0746007,4.250633
1338,0.27076703,-17.089945
1632,15.295687,-10.532882
1652,37.184963,2.6992247
1628,-2.0554576,22.733927
366,-23.923542,-3.7540863
720,14.1053705,-5.9456477
1922,-10.809666,-5.531694
1868,-9.424859,3.6865017
46,-2.9582686,7.1721263
187,-11.206038,21.609476
439,28.772898,1.0575503
1087,23.91789,5.535018
1686,-7.1862288,5.8254905
929,-1.0162927,-15.038201
326,-4.001141,12.6014
1070,-8.346994,-3.697489
705,10.3703,15.350294
1691,-2.1123567,8.27207
522,12.196744,-5.5028586
457,-7.0426364,-4.052518
336,14.580138,0.37190533
437,33.077705,1.0224622
2087,10.169167,-41.537617
1720,-29.740307,17.542315
949,6.760156,16.246637
293,1.0780857,14.403641
408,-5.8229756,1.5298808
574,5.9759135,-17.66731
779,9.093334,-7.69471
1835,-20.092258,-0.17533989
2011,4.717837,-39.988457
899,-29.409668,12.068612
1676,6.381077,12.046739
297,19.094755,7.5499015
1224,10.063462,-23.099854
105,5.4508038,13.664346
2044,5.597015,-42.41619
975,14.986495,0.7744329
1838,15.368269,-1.516653
907,31.306803,13.9281
639,-17.194689,-10.9992485
521,11.32922,-7.0633135
9,11.417818,12.31537
76,-30.856184,3.2381127
1270,-29.346945,-8.519578
106,-22.301014,20.809814
486,13.19063,-9.846812
404,7.183619,18.07183
1801,1.3273479,-22.35807
24,-2.112428,-7.0972376
1641,-0.8889976,24.22897
399,-6.9411774,11.0822935
30,-14.438447,-5.9652596
933,-0.97018915,-14.464911
1064,-3.4542053,-17.045124
40,-2.0216422,-1.1825653
1081,16.028688,12.356195
936,-12.112634,-3.0259883
1073,2.3132944,-7.6475153
2054,17.530056,-43.731888
1949,12.65882,4.9357305
2045,9.958524,-39.410202
1294,-13.956144,-5.628949
719,33.166374,-1.6144557
2043,9.794921,-42.798935
913,15.254958,1.7385459
650,33.46473,-0.3091512
604,3.6861184,-1.9474016
1522,30.449076,-0.7270401
1231,-1.0951457,-9.822781
37,31.47832,5.1563387
29,-0.56872797,-10.986174
1998,16.87548,-42.512096
1451,-25.27818,21.184217
832,-25.667484,23.694527
